"county","countyfips","year","age","population","migrationrate","netmigration"
"State Total",0,2010,"00_04",319638,0.93,2969
"State Total",0,2010,"05_09",325476,6.83,22229
"State Total",0,2010,"10_14",342770,9.76,33448
"State Total",0,2010,"15_19",348659,7.6,26504
"State Total",0,2010,"20_24",332582,16.65,55388
"State Total",0,2010,"25_29",337248,32.36,109137
"State Total",0,2010,"30_34",345172,30.29,104568
"State Total",0,2010,"35_39",368721,14.9,54936
"State Total",0,2010,"40_44",351303,6.8,23906
"State Total",0,2010,"45_49",345934,3.17,10981
"State Total",0,2010,"50_54",339496,0.84,2857
"State Total",0,2010,"55_59",355322,1.18,4198
"State Total",0,2010,"60_64",351252,0.1,334
"State Total",0,2010,"65_69",303727,0.27,832
"State Total",0,2010,"70_74",242551,-2.16,-5250
"State Total",0,2010,"75_79",152157,-2.87,-4367
"Adams",1,2010,"00_04",34590,-0.58,-200
"Adams",1,2010,"05_09",35520,2.76,982
"Adams",1,2010,"10_14",37514,5.76,2161
"Adams",1,2010,"15_19",36864,1.17,432
"Adams",1,2010,"20_24",33249,4.67,1553
"Adams",1,2010,"25_29",29880,36.26,10834
"Adams",1,2010,"30_34",29300,44.91,13160
"Adams",1,2010,"35_39",35269,16.49,5816
"Adams",1,2010,"40_44",35489,3.16,1121
"Adams",1,2010,"45_49",33597,-1.31,-439
"Adams",1,2010,"50_54",30381,-1.39,-421
"Adams",1,2010,"55_59",28917,1.65,477
"Adams",1,2010,"60_64",26365,0.86,228
"Adams",1,2010,"65_69",21123,-0.82,-173
"Adams",1,2010,"70_74",16272,-3.39,-552
"Adams",1,2010,"75_79",9736,-1.71,-166
"Alamosa",3,2010,"00_04",967,2.07,20
"Alamosa",3,2010,"05_09",1116,-0.09,-1
"Alamosa",3,2010,"10_14",1196,-4.85,-58
"Alamosa",3,2010,"15_19",1046,27.34,286
"Alamosa",3,2010,"20_24",947,55.54,526
"Alamosa",3,2010,"25_29",1293,-17.01,-220
"Alamosa",3,2010,"30_34",1588,-28.4,-451
"Alamosa",3,2010,"35_39",1074,-8.1,-87
"Alamosa",3,2010,"40_44",860,4.19,36
"Alamosa",3,2010,"45_49",803,-2.99,-24
"Alamosa",3,2010,"50_54",748,10.7,80
"Alamosa",3,2010,"55_59",943,4.35,41
"Alamosa",3,2010,"60_64",1028,-0.88,-9
"Alamosa",3,2010,"65_69",897,4.91,44
"Alamosa",3,2010,"70_74",753,-11.02,-83
"Alamosa",3,2010,"75_79",447,-0.22,-1
"Arapahoe",5,2010,"00_04",38594,0.68,262
"Arapahoe",5,2010,"05_09",39063,7.82,3055
"Arapahoe",5,2010,"10_14",40545,13.49,5468
"Arapahoe",5,2010,"15_19",41302,1.56,646
"Arapahoe",5,2010,"20_24",40081,-0.69,-278
"Arapahoe",5,2010,"25_29",38756,30.46,11807
"Arapahoe",5,2010,"30_34",34457,50.14,17278
"Arapahoe",5,2010,"35_39",42418,17.16,7278
"Arapahoe",5,2010,"40_44",41181,8.63,3554
"Arapahoe",5,2010,"45_49",41001,4.25,1744
