county,countyfips,year,value,age,datatype
Colorado,0,1950,200319,00_04,expectedpopulation
Colorado,0,1950,4.3,00_04,migrationrate
Colorado,0,1950,8789,00_04,netmigration
Colorado,0,1950,179128,05_09,expectedpopulation
Colorado,0,1950,7.8,05_09,migrationrate
Colorado,0,1950,14076,05_09,netmigration
Colorado,0,1950,150488,10_14,expectedpopulation
Colorado,0,1950,10.8,10_14,migrationrate
Colorado,0,1950,16258,10_14,netmigration
Colorado,0,1950,114945,15_19,expectedpopulation
Colorado,0,1950,13.7,15_19,migrationrate
Colorado,0,1950,15781,15_19,netmigration
Colorado,0,1950,95975,20_24,expectedpopulation
Colorado,0,1950,16.9,20_24,migrationrate
Colorado,0,1950,16222,20_24,netmigration
Colorado,0,1950,95478,25_29,expectedpopulation
Colorado,0,1950,18,25_29,migrationrate
Colorado,0,1950,17200,25_29,netmigration
Colorado,0,1950,103115,30_34,expectedpopulation
Colorado,0,1950,15.5,30_34,migrationrate
Colorado,0,1950,16060,30_34,netmigration
Colorado,0,1950,108714,35_39,expectedpopulation
Colorado,0,1950,12.2,35_39,migrationrate
Colorado,0,1950,13285,35_39,netmigration
Colorado,0,1950,98459,40_44,expectedpopulation
Colorado,0,1950,11.7,40_44,migrationrate
Colorado,0,1950,11557,40_44,netmigration
Colorado,0,1950,90115,45_49,expectedpopulation
Colorado,0,1950,10,45_49,migrationrate
Colorado,0,1950,9050,45_49,netmigration
Colorado,0,1950,79493,50_54,expectedpopulation
Colorado,0,1950,7.9,50_54,migrationrate
Colorado,0,1950,6283,50_54,netmigration
Colorado,0,1950,68261,55_59,expectedpopulation
Colorado,0,1950,6.7,55_59,migrationrate
Colorado,0,1950,4614,55_59,netmigration
Colorado,0,1950,58228,60_64,expectedpopulation
Colorado,0,1950,6.6,60_64,migrationrate
Colorado,0,1950,3894,60_64,netmigration
Colorado,0,1950,52713,65_69,expectedpopulation
Colorado,0,1950,6.7,65_69,migrationrate
Colorado,0,1950,3536,65_69,netmigration
Colorado,0,1950,41524,70_74,expectedpopulation
Colorado,0,1950,7.1,70_74,migrationrate
Colorado,0,1950,2958,70_74,netmigration
Colorado,0,1960,180238,00_04,expectedpopulation
Colorado,0,1960,3.5,00_04,migrationrate
Colorado,0,1960,6388,00_04,netmigration
Colorado,0,1960,208672,05_09,expectedpopulation
Colorado,0,1960,7.6,05_09,migrationrate
Colorado,0,1960,15866,05_09,netmigration
Colorado,0,1960,209813,10_14,expectedpopulation
Colorado,0,1960,11.5,10_14,migrationrate
Colorado,0,1960,24260,10_14,netmigration
Colorado,0,1960,195247,15_19,expectedpopulation
Colorado,0,1960,11.5,15_19,migrationrate
Colorado,0,1960,22514,15_19,netmigration
Colorado,0,1960,167431,20_24,expectedpopulation
Colorado,0,1960,22.2,20_24,migrationrate
Colorado,0,1960,37296,20_24,netmigration
