county,countyfips,year,age,population,migrationrate,netmigration
State Total,0,1970,00_04,215876,1.1,2393
State Total,0,1970,05_09,194967,10.2,20024
State Total,0,1970,10_14,191409,18.2,34955
State Total,0,1970,15_19,229918,16.7,38599
State Total,0,1970,20_24,236443,29.8,70680
State Total,0,1970,25_29,219319,41.2,90414
State Total,0,1970,30_34,207263,30.4,63026
State Total,0,1970,35_39,160847,22.4,36166
State Total,0,1970,40_44,135560,15.4,20971
State Total,0,1970,45_49,127403,10.6,13551
State Total,0,1970,50_54,126126,6.8,8669
State Total,0,1970,55_59,120274,5.5,6654
State Total,0,1970,60_64,99639,3.7,3757
State Total,0,1970,65_69,80825,3,2487
State Total,0,1970,70_74,62246,3.5,2184
State Total,0,1980,00_04,267369,-0.8,-2230
State Total,0,1980,05_09,265044,-1.8,-5022
State Total,0,1980,10_14,218430,4.6,10070
State Total,0,1980,15_19,216025,2.7,5951
State Total,0,1980,20_24,228112,4.7,10872
State Total,0,1980,25_29,268561,11.8,31850
State Total,0,1980,30_34,306630,7.7,23860
State Total,0,1980,35_39,307114,0.7,2179
State Total,0,1980,40_44,266080,-0.9,-2558
State Total,0,1980,45_49,191967,0,-158
State Total,0,1980,50_54,149832,-0.5,-810
State Total,0,1980,55_59,132329,-0.3,-524
State Total,0,1980,60_64,121384,1.4,1794
State Total,0,1980,65_69,108443,2.5,2791
State Total,0,1980,70_74,81517,3,2483
State Total,0,1990,00_04,288320,7.1,20484
State Total,0,1990,05_09,267332,16.9,45287
State Total,0,1990,10_14,266086,15.4,41219
State Total,0,1990,15_19,258581,15.8,40900
State Total,0,1990,20_24,224615,34.9,78580
State Total,0,1990,25_29,220953,50,110525
State Total,0,1990,30_34,238742,38.8,92843
State Total,0,1990,35_39,295673,24,71203
State Total,0,1990,40_44,322340,15.2,49315
State Total,0,1990,45_49,302955,10.8,33020
State Total,0,1990,50_54,258417,7.5,19617
State Total,0,1990,55_59,185937,5.4,10047
State Total,0,1990,60_64,140719,3,4346
State Total,0,1990,65_69,117932,2,2439
State Total,0,1990,70_74,102252,1.8,1924
State Total,0,2000,00_04,346673,3.3,11784
State Total,0,2000,05_09,337391,4.5,15322
State Total,0,2000,10_14,309255,7.5,23398
State Total,0,2000,15_19,311879,7.5,23553
State Total,0,2000,20_24,305562,14.6,44720
State Total,0,2000,25_29,300520,25.4,76629
State Total,0,2000,30_34,304861,17.2,52599
State Total,0,2000,35_39,329507,8.1,26694
State Total,0,2000,40_44,331389,4.5,15231
State Total,0,2000,45_49,361564,2.8,10369
State Total,0,2000,50_54,362585,1.8,6705
State Total,0,2000,55_59,323328,0.7,2281
State Total,0,2000,60_64,258995,2.5,6478
State Total,0,2000,65_69,174349,3.4,6071
State Total,0,2000,70_74,121902,4,4882
State Total,0,2010,00_04,320779.53,0.6,1921
State Total,0,2010,05_09,325280.19,5.71,18570
State Total,0,2010,10_14,360837.72,3.81,13743
State Total,0,2010,15_19,354896.44,4.77,16923
State Total,0,2010,20_24,330516.31,12.96,42825
State Total,0,2010,25_29,328454.34,36.48,119806
State Total,0,2010,30_34,341738.53,33.48,114414
State Total,0,2010,35_39,370875.47,17.16,63629
State Total,0,2010,40_44,351816.25,8.82,31029
State Total,0,2010,45_49,348324.5,4.49,15650
State Total,0,2010,50_54,337196.63,2.48,8358
State Total,0,2010,55_59,357182.91,1.36,4860
State Total,0,2010,60_64,345638.31,1.52,5262
State Total,0,2010,65_69,295862.13,1.65,4878
State Total,0,2010,70_74,231504.2,0.5,1153
Adams,1,1970,00_04,21484,1.7,378
Adams,1,1970,05_09,18183,15.1,2760
Adams,1,1970,10_14,18877,12.7,2409
Adams,1,1970,15_19,24987,-2.4,-600
Adams,1,1970,20_24,24550,11.1,2730
Adams,1,1970,25_29,17099,54.2,9270
Adams,1,1970,30_34,14023,55.7,7824
Adams,1,1970,35_39,14853,6.4,957
Adams,1,1970,40_44,14059,-1.8,-262
Adams,1,1970,45_49,12963,-1.7,-226
Adams,1,1970,50_54,11712,0.5,65
Adams,1,1970,55_59,9560,4.7,453
Adams,1,1970,60_64,6806,8.7,598
Adams,1,1970,65_69,4506,11.7,529
Adams,1,1970,70_74,2983,15,449
Adams,1,1980,00_04,24815,-2.8,-710
Adams,1,1980,05_09,25136,-6.1,-1554
Adams,1,1980,10_14,21796,-7.8,-1712
Adams,1,1980,15_19,20994,-13.3,-2797
Adams,1,1980,20_24,21189,-10.3,-2192
Adams,1,1980,25_29,24220,9.1,2222
Adams,1,1980,30_34,27015,1.7,472
Adams,1,1980,35_39,26055,-10.1,-2648
Adams,1,1980,40_44,21494,-10.7,-2317
Adams,1,1980,45_49,15396,-6.5,-1001
Adams,1,1980,50_54,13220,-7.2,-951
Adams,1,1980,55_59,11974,-7.3,-873
Adams,1,1980,60_64,10604,-7.9,-839
Adams,1,1980,65_69,8547,-9.2,-791
Adams,1,1980,70_74,5817,-9.3,-542
Adams,1,1990,00_04,25790,23,5951
Adams,1,1990,05_09,23765,26.8,6377
Adams,1,1990,10_14,24073,13,3140
Adams,1,1990,15_19,23352,9.7,2278
Adams,1,1990,20_24,19640,36.6,7194
Adams,1,1990,25_29,18060,71.7,12954
Adams,1,1990,30_34,18898,64.2,12135
Adams,1,1990,35_39,25935,23.6,6131
Adams,1,1990,40_44,26732,10.4,2785
Adams,1,1990,45_49,22819,6.7,1551
Adams,1,1990,50_54,18662,8.7,1632
Adams,1,1990,55_59,13824,5.3,741
Adams,1,1990,60_64,11517,-2.2,-259
Adams,1,1990,65_69,9811,-5.3,-523
Adams,1,1990,70_74,7906,-3.9,-311
Adams,1,2000,00_04,34907,13.3,4656
Adams,1,2000,05_09,31461,18.6,5879
Adams,1,2000,10_14,30232,9.6,2909
Adams,1,2000,15_19,28637,3.6,1059
Adams,1,2000,20_24,25863,16.2,4200
Adams,1,2000,25_29,24722,47.6,11787
Adams,1,2000,30_34,26379,38,10041
Adams,1,2000,35_39,29611,16.9,5012
Adams,1,2000,40_44,29245,6.8,2007
Adams,1,2000,45_49,29769,2.3,712
Adams,1,2000,50_54,27282,3,819
Adams,1,2000,55_59,22271,3.8,846
Adams,1,2000,60_64,17924,3,544
Adams,1,2000,65_69,12276,0.2,28
Adams,1,2000,70_74,8973,-1,-93
Adams,1,2010,00_04,32168.98,7.41,2385
Adams,1,2010,05_09,33440.37,10.34,3458
Adams,1,2010,10_14,39668.48,1.31,520
Adams,1,2010,15_19,37448.6,-2.01,-754
Adams,1,2010,20_24,32809.23,-0.23,-76
Adams,1,2010,25_29,28888.16,40.31,11646
Adams,1,2010,30_34,29470.49,47,13853
Adams,1,2010,35_39,36007.5,16.67,6002
Adams,1,2010,40_44,35766.59,2.52,902
Adams,1,2010,45_49,33772.85,-0.94,-316
Adams,1,2010,50_54,30257.5,0.64,193
Adams,1,2010,55_59,29047.72,2.7,784
Adams,1,2010,60_64,26049.46,2.85,743
Adams,1,2010,65_69,20610.51,-0.59,-123
Adams,1,2010,70_74,15544.43,-1.81,-281
Alamosa,3,1970,00_04,1039,-1.7,-18
Alamosa,3,1970,05_09,1022,-6.6,-68
Alamosa,3,1970,10_14,1007,-9.7,-98
Alamosa,3,1970,15_19,1166,23.4,274
Alamosa,3,1970,20_24,1211,22.4,272
Alamosa,3,1970,25_29,1518,-31.8,-484
Alamosa,3,1970,30_34,1541,-39.8,-614
Alamosa,3,1970,35_39,743,-9.2,-69
Alamosa,3,1970,40_44,548,-3.4,-19
Alamosa,3,1970,45_49,557,-6.4,-36
Alamosa,3,1970,50_54,509,-3.5,-18
Alamosa,3,1970,55_59,484,-6.8,-33
Alamosa,3,1970,60_64,447,-9.8,-44
Alamosa,3,1970,65_69,404,-8.1,-33
Alamosa,3,1970,70_74,324,-15.1,-49
Alamosa,3,1980,00_04,1256,-3.3,-42
