county,countyfips,year,Attribute,value,age,datatype
Elbert,39,2010,MR_00_04,13.32,00_04,MR_
Elbert,39,2010,MR_05_09,66.69,05_09,MR_
Elbert,39,2010,MR_10_14,49.52,10_14,MR_
Elbert,39,2010,MR_15_19,7.58,15_19,MR_
Elbert,39,2010,MR_20_24,-34.75,20_24,MR_
Elbert,39,2010,MR_25_29,-34.72,25_29,MR_
Elbert,39,2010,MR_30_34,71.32,30_34,MR_
Elbert,39,2010,MR_35_39,114.93,35_39,MR_
Elbert,39,2010,MR_40_44,70.57,40_44,MR_
Elbert,39,2010,MR_45_49,41.76,45_49,MR_
Elbert,39,2010,MR_50_54,6.87,50_54,MR_
Elbert,39,2010,MR_55_59,2.33,55_59,MR_
Elbert,39,2010,MR_60_64,-2.69,60_64,MR_
Elbert,39,2010,MR_65_69,-6.47,65_69,MR_
Elbert,39,2010,MR_70_74,-8.5,70_74,MR_
Elbert,39,2010,Mig_00_04,137,00_04,Mig
Elbert,39,2010,Mig_05_09,557,05_09,Mig
Elbert,39,2010,Mig_10_14,596,10_14,Mig
Elbert,39,2010,Mig_15_19,124,15_19,Mig
Elbert,39,2010,Mig_20_24,-658,20_24,Mig
Elbert,39,2010,Mig_25_29,-586,25_29,Mig
Elbert,39,2010,Mig_30_34,532,30_34,Mig
Elbert,39,2010,Mig_35_39,821,35_39,Mig
Elbert,39,2010,Mig_40_44,645,40_44,Mig
Elbert,39,2010,Mig_45_49,535,45_49,Mig
Elbert,39,2010,Mig_50_54,129,50_54,Mig
Elbert,39,2010,Mig_55_59,57,55_59,Mig
Elbert,39,2010,Mig_60_64,-65,60_64,Mig
Elbert,39,2010,Mig_65_69,-127,65_69,Mig
Elbert,39,2010,Mig_70_74,-122,70_74,Mig
Elbert,39,2010,Pop_00_04,1027.19,00_04,Pop
Elbert,39,2010,Pop_05_09,835.07,05_09,Pop
Elbert,39,2010,Pop_10_14,1204.54,10_14,Pop
Elbert,39,2010,Pop_15_19,1641.59,15_19,Pop
Elbert,39,2010,Pop_20_24,1892.72,20_24,Pop
Elbert,39,2010,Pop_25_29,1688.08,25_29,Pop
Elbert,39,2010,Pop_30_34,746.57,30_34,Pop
Elbert,39,2010,Pop_35_39,714.17,35_39,Pop
Elbert,39,2010,Pop_40_44,913.39,40_44,Pop
Elbert,39,2010,Pop_45_49,1281.71,45_49,Pop
Elbert,39,2010,Pop_50_54,1884.51,50_54,Pop
Elbert,39,2010,Pop_55_59,2460.62,55_59,Pop
Elbert,39,2010,Pop_60_64,2429.42,60_64,Pop
Elbert,39,2010,Pop_65_69,1962.94,65_69,Pop
Elbert,39,2010,Pop_70_74,1433.85,70_74,Pop
Baca,9,2010,MR_00_04,-8.65,00_04,MR_
Baca,9,2010,MR_05_09,6.03,05_09,MR_
Baca,9,2010,MR_10_14,10.86,10_14,MR_
Baca,9,2010,MR_15_19,-11.27,15_19,MR_
Baca,9,2010,MR_20_24,-28.72,20_24,MR_
