countyfips,year,estimate
117,2050,44747
119,2050,30997
0,2050,8105925
35,2050,460601
41,2050,1075535
43,2050,53846
33,2050,1985
45,2050,101203
47,2050,6179
31,2050,886561
49,2050,24556
51,2050,21348
29,2050,40236
53,2050,1173
55,2050,5653
57,2050,1189
27,2050,5456
59,2050,661428
61,2050,1131
25,2050,6481
63,2050,8948
65,2050,9319
23,2050,3651
67,2050,87369
69,2050,533697
21,2050,8582
123,2050,709951
37,2050,85838
71,2050,12657
73,2050,7891
19,2050,12623
75,2050,28330
77,2050,234435
79,2050,896
17,2050,1608
81,2050,13603
83,2050,41510
15,2050,25257
85,2050,68780
87,2050,41493
14,2050,93952
89,2050,15774
13,2050,428243
91,2050,5710
93,2050,22014
11,2050,5585
95,2050,4192
97,2050,20801
9,2050,2816
99,2050,11414
101,2050,223412
121,2050,4647
39,2050,50645
103,2050,7070
7,2050,24183
125,2050,10944
105,2050,11045
107,2050,42086
5,2050,850305
109,2050,6342
111,2050,716
3,2050,22133
113,2050,15075
115,2050,2196
1,2050,857884
91,2049,5678
123,2049,696870
121,2049,4673
0,2049,8053616
119,2049,30879
117,2049,44336
125,2049,10934
1,2049,847587
115,2049,2197
113,2049,14877
3,2049,21971
111,2049,716
109,2049,6348
5,2049,848877
107,2049,41639
105,2049,11054
7,2049,23817
103,2049,7055
101,2049,222003
99,2049,11438
9,2049,2833
97,2049,20715
95,2049,4191
11,2049,5593
93,2049,22097
13,2049,425964
89,2049,15870
14,2049,94171
87,2049,40995
85,2049,68021
15,2049,25130
83,2049,41076
81,2049,13582
17,2049,1619
79,2049,892
77,2049,232630
75,2049,28185
19,2049,12515
73,2049,7827
71,2049,12705
21,2049,8569
69,2049,528787
67,2049,86667
23,2049,3648
65,2049,9293
63,2049,8871
25,2049,6465
61,2049,1136
59,2049,660945
27,2049,5425
57,2049,1193
55,2049,5686
53,2049,1167
29,2049,39938
51,2049,21260
49,2049,24285
31,2049,888669
47,2049,6179
45,2049,100006
33,2049,1983
43,2049,53576
41,2049,1065322
35,2049,459807
39,2049,50134
37,2049,85046
73,2048,7761
35,2048,458884
14,2048,94379
17,2048,1630
29,2048,39638
15,2048,25006
21,2048,8557
51,2048,21170
19,2048,12407
37,2048,84244
113,2048,14676
61,2048,1141
95,2048,4190
63,2048,8795
91,2048,5647
59,2048,660446
55,2048,5721
25,2048,6449
105,2048,11063
1,2048,837285
123,2048,683833
117,2048,43920
125,2048,10923
99,2048,11463
47,2048,6180
41,2048,1055092
49,2048,24012
71,2048,12756
53,2048,1160
103,2048,7040
81,2048,13563
109,2048,6355
57,2048,1197
11,2048,5602
121,2048,4700
65,2048,9268
23,2048,3645
75,2048,28040
115,2048,2199
85,2048,67258
97,2048,20633
87,2048,40503
27,2048,5396
5,2048,847325
7,2048,23450
3,2048,21808
79,2048,889
0,2048,7999877
119,2048,30762
67,2048,85955
43,2048,53312
107,2048,41188
13,2048,423657
33,2048,1981
93,2048,22180
77,2048,230815
9,2048,2850
89,2048,15966
45,2048,98803
83,2048,40644
69,2048,523833
111,2048,715
39,2048,49620
101,2048,220589
31,2048,889706
119,2047,30647
5,2047,845623
9,2047,2867
87,2047,40015
37,2047,83431
69,2047,518831
89,2047,16062
67,2047,85232
45,2047,97592
109,2047,6362
53,2047,1154
47,2047,6181
125,2047,10913
59,2047,659915
14,2047,94574
61,2047,1146
19,2047,12300
25,2047,6433
11,2047,5612
103,2047,7025
57,2047,1202
0,2047,7945650
115,2047,2201
121,2047,4726
75,2047,27894
7,2047,23081
27,2047,5369
83,2047,40214
93,2047,22264
123,2047,670837
73,2047,7696
55,2047,5759
29,2047,39336
15,2047,24884
51,2047,21079
63,2047,8720
113,2047,14474
91,2047,5616
95,2047,4190
105,2047,11074
39,2047,49104
41,2047,1044831
71,2047,12809
99,2047,11487
49,2047,23737
79,2047,886
1,2047,826969
65,2047,9244
117,2047,43499
97,2047,20553
85,2047,66488
23,2047,3643
13,2047,421315
81,2047,13546
3,2047,21646
107,2047,40731
35,2047,457811
43,2047,53055
33,2047,1978
77,2047,228982
31,2047,890739
17,2047,1642
101,2047,219165
21,2047,8545
111,2047,715
51,2046,20986
57,2046,1206
27,2046,5343
119,2046,30530
97,2046,20474
117,2046,43076
9,2046,2884
99,2046,11511
123,2046,657874
75,2046,27747
121,2046,4753
0,2046,7890564
115,2046,2203
83,2046,39784
73,2046,7630
113,2046,14270
15,2046,24764
41,2046,1034529
71,2046,12864
85,2046,65710
17,2046,1653
3,2046,21484
43,2046,52802
33,2046,1976
21,2046,8533
111,2046,714
1,2046,816631
87,2046,39531
39,2046,48582
45,2046,96371
109,2046,6370
69,2046,513772
14,2046,94754
77,2046,227126
47,2046,6182
67,2046,84496
89,2046,16158
5,2046,843745
31,2046,891766
35,2046,456568
107,2046,40269
13,2046,418923
23,2046,3642
49,2046,23461
65,2046,9219
105,2046,11084
79,2046,883
91,2046,5586
37,2046,82609
63,2046,8647
125,2046,10901
53,2046,1148
29,2046,39032
93,2046,22347
7,2046,22710
19,2046,12193
103,2046,7009
11,2046,5622
25,2046,6418
61,2046,1151
101,2046,217727
81,2046,13530
95,2046,4191
55,2046,5798
59,2046,659114
111,2045,714
59,2045,657947
31,2045,892769
33,2045,1972
61,2045,1157
21,2045,8522
43,2045,52550
107,2045,39811
3,2045,21319
13,2045,416475
23,2045,3641
85,2045,64927
17,2045,1665
49,2045,23178
9,2045,2901
71,2045,12919
37,2045,81774
65,2045,9188
15,2045,24644
97,2045,20391
105,2045,11096
101,2045,216247
91,2045,5557
113,2045,14066
41,2045,1024159
79,2045,880
51,2045,20892
117,2045,42645
95,2045,4193
63,2045,8576
93,2045,22401
53,2045,1141
73,2045,7565
27,2045,5319
29,2045,38724
57,2045,1211
83,2045,39354
35,2045,455143
123,2045,644943
7,2045,22339
119,2045,30424
115,2045,2205
0,2045,7833924
121,2045,4782
125,2045,10890
103,2045,6993
11,2045,5632
25,2045,6401
81,2045,13516
55,2045,5840
69,2045,508654
14,2045,94957
19,2045,12087
75,2045,27595
47,2045,6183
109,2045,6378
45,2045,95137
99,2045,11533
67,2045,83745
89,2045,16254
77,2045,225256
39,2045,48054
1,2045,806263
5,2045,841176
87,2045,39053
75,2044,27442
89,2044,16350
19,2044,11981
31,2044,893683
14,2044,95142
1,2044,795859
25,2044,6385
21,2044,8510
35,2044,453519
61,2044,1163
99,2044,11557
107,2044,39346
43,2044,52302
7,2044,21966
125,2044,10877
39,2044,47519
13,2044,413959
109,2044,6388
95,2044,4195
3,2044,21153
83,2044,38921
85,2044,64135
115,2044,2208
71,2044,12975
49,2044,22894
57,2044,1217
123,2044,632041
29,2044,38413
0,2044,7774929
9,2044,2919
47,2044,6184
65,2044,9157
15,2044,24526
33,2044,1968
121,2044,4812
117,2044,42214
105,2044,11108
87,2044,38577
91,2044,5529
103,2044,6976
101,2044,214745
17,2044,1677
113,2044,13858
97,2044,20308
81,2044,13503
37,2044,80924
55,2044,5883
51,2044,20796
111,2044,713
11,2044,5642
41,2044,1013758
77,2044,222352
45,2044,93891
119,2044,30316
59,2044,656721
63,2044,8506
93,2044,22453
5,2044,837915
79,2044,878
53,2044,1134
23,2044,3641
27,2044,5296
73,2044,7500
69,2044,503472
67,2044,82979
89,2043,16447
17,2043,1688
123,2043,619164
79,2043,876
121,2043,4842
0,2043,7714914
115,2043,2212
117,2043,41783
41,2043,1003264
113,2043,13649
43,2043,52058
3,2043,20985
33,2043,1965
111,2043,713
45,2043,92631
109,2043,6397
47,2043,6184
5,2043,834459
31,2043,894470
107,2043,38876
49,2043,22606
105,2043,11121
51,2043,20699
53,2043,1124
7,2043,21590
119,2043,30208
103,2043,6959
29,2043,38098
101,2043,213218
55,2043,5928
57,2043,1222
9,2043,2937
27,2043,5274
99,2043,11580
59,2043,655420
97,2043,20227
61,2043,1169
35,2043,451678
95,2043,4198
11,2043,5653
25,2043,6369
63,2043,8437
93,2043,22502
65,2043,9124
91,2043,5502
125,2043,10864
39,2043,46976
13,2043,411366
23,2043,3642
67,2043,82198
77,2043,219421
1,2043,785407
14,2043,95308
69,2043,498224
87,2043,38103
21,2043,8497
37,2043,80055
85,2043,63333
71,2043,13034
73,2043,7435
15,2043,24407
83,2043,38487
75,2043,27287
81,2043,13490
19,2043,11875
35,2042,449602
41,2042,992654
119,2042,30099
53,2042,1113
5,2042,830045
113,2042,13436
93,2042,22548
11,2042,5665
55,2042,5974
81,2042,13478
15,2042,24288
45,2042,91356
101,2042,211663
29,2042,37779
73,2042,7369
51,2042,20599
125,2042,10850
103,2042,6940
75,2042,27132
117,2042,41351
7,2042,21212
109,2042,6408
65,2042,9089
37,2042,79168
99,2042,11605
14,2042,95453
59,2042,654026
115,2042,2215
47,2042,6184
105,2042,11134
71,2042,13095
91,2042,5475
87,2042,37631
95,2042,4202
43,2042,51818
25,2042,6352
69,2042,492910
79,2042,874
61,2042,1176
85,2042,62521
83,2042,38048
49,2042,22316
3,2042,20815
39,2042,46423
123,2042,606311
111,2042,714
57,2042,1227
27,2042,5252
0,2042,7651933
1,2042,774897
21,2042,8483
67,2042,81402
9,2042,2956
97,2042,20149
13,2042,408689
17,2042,1700
33,2042,1961
89,2042,16546
63,2042,8369
107,2042,38400
19,2042,11770
31,2042,894042
121,2042,4872
77,2042,216460
23,2042,3643
21,2041,8467
33,2041,1958
111,2041,714
87,2041,37160
117,2041,40917
67,2041,80590
5,2041,825385
71,2041,13158
19,2041,11665
89,2041,16646
29,2041,37456
45,2041,90066
109,2041,6419
14,2041,95574
47,2041,6183
69,2041,487529
35,2041,447277
123,2041,593450
121,2041,4902
59,2041,652524
11,2041,5678
57,2041,1232
97,2041,20072
103,2041,6922
7,2041,20831
95,2041,4208
61,2041,1183
75,2041,26974
83,2041,37606
81,2041,13466
25,2041,6335
115,2041,2219
0,2041,7586590
63,2041,8302
79,2041,873
9,2041,2975
41,2041,981912
53,2041,1103
93,2041,22589
113,2041,13220
101,2041,210078
15,2041,24167
51,2041,20497
39,2041,45858
73,2041,7302
27,2041,5230
65,2041,9052
119,2041,29990
125,2041,10836
43,2041,51580
77,2041,213467
105,2041,11148
91,2041,5449
85,2041,61698
1,2041,764320
55,2041,6021
3,2041,20643
17,2041,1711
23,2041,3645
37,2041,78266
13,2041,405925
99,2041,11630
107,2041,37919
31,2041,892396
49,2041,22025
77,2040,210451
57,2040,1238
61,2040,1190
79,2040,872
101,2040,208436
55,2040,6066
39,2040,45280
29,2040,37128
11,2040,5689
103,2040,6903
95,2040,4213
25,2040,6317
63,2040,8234
81,2040,13456
7,2040,20447
93,2040,22627
1,2040,753667
53,2040,1088
65,2040,9012
105,2040,11163
91,2040,5424
51,2040,20367
31,2040,889556
119,2040,29880
13,2040,403077
107,2040,37435
23,2040,3648
67,2040,79764
49,2040,21720
5,2040,820477
89,2040,16745
19,2040,11560
69,2040,482086
47,2040,6183
14,2040,95660
109,2040,6431
45,2040,88759
71,2040,13217
33,2040,1955
111,2040,714
87,2040,36696
37,2040,77339
125,2040,10822
21,2040,8452
3,2040,20469
17,2040,1723
85,2040,60864
43,2040,51333
73,2040,7236
15,2040,24044
113,2040,13004
41,2040,971042
0,2040,7518811
123,2040,580591
115,2040,2224
83,2040,37162
75,2040,26813
121,2040,4934
117,2040,40478
99,2040,11654
27,2040,5208
59,2040,650907
9,2040,2994
35,2040,444694
97,2040,19992
41,2039,959970
91,2039,5400
67,2039,78925
0,2039,7448849
21,2039,8435
63,2039,8168
17,2039,1734
105,2039,11177
125,2039,10807
23,2039,3652
115,2039,2230
43,2039,51089
31,2039,885821
77,2039,207406
25,2039,6295
1,2039,742933
9,2039,3014
83,2039,36717
107,2039,36947
65,2039,8969
75,2039,26651
55,2039,6112
95,2039,4220
27,2039,5185
103,2039,6884
11,2039,5700
73,2039,7170
97,2039,19914
121,2039,4966
59,2039,649166
117,2039,40038
3,2039,20293
13,2039,400150
69,2039,476588
35,2039,441854
113,2039,12786
51,2039,20236
14,2039,95719
39,2039,44688
15,2039,23918
57,2039,1243
19,2039,11456
47,2039,6182
53,2039,1074
37,2039,76398
87,2039,36233
101,2039,206716
109,2039,6443
61,2039,1198
29,2039,36795
49,2039,21416
119,2039,29769
93,2039,22629
89,2039,16846
81,2039,13445
85,2039,60021
71,2039,13277
79,2039,871
7,2039,20059
45,2039,87437
5,2039,815321
123,2039,567746
33,2039,1954
99,2039,11680
111,2039,715
111,2038,715
99,2038,11707
55,2038,6159
87,2038,35769
67,2038,78072
23,2038,3656
13,2038,397145
107,2038,36444
57,2038,1249
21,2038,8417
123,2038,554911
31,2038,881164
51,2038,20101
3,2038,20116
27,2038,5163
91,2038,5376
85,2038,59170
125,2038,10781
121,2038,4998
59,2038,647289
105,2038,11193
43,2038,50846
81,2038,13435
113,2038,12565
73,2038,7094
65,2038,8920
53,2038,1059
17,2038,1745
15,2038,23790
93,2038,22594
77,2038,204333
7,2038,19666
61,2038,1207
41,2038,948770
0,2038,7376739
79,2038,869
39,2038,44081
75,2038,26489
63,2038,8101
115,2038,2243
97,2038,19834
25,2038,6273
83,2038,36271
95,2038,4234
9,2038,3035
35,2038,438755
11,2038,5712
117,2038,39594
1,2038,732114
101,2038,204970
69,2038,471028
103,2038,6864
14,2038,95746
37,2038,75443
49,2038,21110
47,2038,6182
119,2038,29656
109,2038,6456
19,2038,11352
89,2038,16949
29,2038,36458
71,2038,13338
5,2038,809912
45,2038,86100
33,2038,1952
27,2037,5140
1,2037,721208
117,2037,39146
115,2037,2250
113,2037,12342
3,2037,19937
111,2037,716
109,2037,6469
